"Design.";"model_file";"Performance";"Pressure.Drop.1";"Toutlet.Average";"Toutlet.Standard.Deviation"
117;"mf_(2_5,200,135_0,24,0,8).stl";"-1.10195";"1.72013";"17.0388";"0.59564"
118;"mf_(2_5,200,135_0,24,12,4).stl";"-1.03693";"1.54729";"17.0087";"0.623924"
119;"mf_(2_5,200,135_0,24,12,6).stl";"-1.07335";"1.65484";"17.0231";"0.603704"
120;"mf_(2_5,200,135_0,24,12,8).stl";"-1.06225";"1.60448";"16.9927";"0.61596"
121;"mf_(2_5,200,90_0,12,0,4).stl";"-0.998408";"1.54925";"17.033";"0.600526"
122;"mf_(2_5,200,90_0,12,0,6).stl";"-1.07405";"1.62466";"16.9977";"0.615277"
123;"mf_(2_5,200,90_0,12,0,8).stl";"-1.0383";"1.59761";"17.0076";"0.60463"
124;"mf_(2_5,200,90_0,12,12,4).stl";"-1.01121";"1.56782";"17.0491";"0.601494"
125;"mf_(2_5,200,90_0,12,12,6).stl";"-1.00182";"1.60111";"17.0333";"0.581912"
126;"mf_(2_5,200,90_0,12,12,8).stl";"-1.04344";"1.62477";"17.0303";"0.597733"
127;"mf_(2_5,200,90_0,16,0,4).stl";"-1.00824";"1.56334";"17.0446";"0.601311"
128;"mf_(2_5,200,90_0,16,0,6).stl";"-1.05299";"1.61261";"17.015";"0.607861"
129;"mf_(2_5,200,90_0,16,0,8).stl";"-1.09728";"1.63487";"17.0386";"0.626825"
130;"mf_(2_5,200,90_0,16,12,4).stl";"-1.04845";"1.56458";"17.0252";"0.62464"
131;"mf_(2_5,200,90_0,16,12,6).stl";"-1.04951";"1.63432";"17.0107";"0.59692"
132;"mf_(2_5,200,90_0,16,12,8).stl";"-1.05907";"1.62565";"17.0297";"0.606887"
133;"mf_(2_5,200,90_0,20,0,4).stl";"-1.05887";"1.60721";"17.0344";"0.614298"
134;"mf_(2_5,200,90_0,20,0,6).stl";"-1.03148";"1.63881";"17.0256";"0.584664"
135;"mf_(2_5,200,90_0,20,0,8).stl";"-1.07181";"1.63067";"17.0193";"0.612285"
136;"mf_(2_5,200,90_0,20,12,4).stl";"-0.987651";"1.58159";"17.0225";"0.58068"
137;"mf_(2_5,200,90_0,20,12,6).stl";"-1.0433";"1.60357";"17.0114";"0.605436"
138;"mf_(2_5,200,90_0,20,12,8).stl";"-1.0747";"1.61332";"17.0025";"0.62037"
139;"mf_(2_5,200,90_0,24,0,4).stl";"-1.01804";"1.61846";"17.017";"0.58429"
140;"mf_(2_5,200,90_0,24,0,6).stl";"-1.10772";"1.68682";"17.0273";"0.612046"
141;"mf_(2_5,200,90_0,24,0,8).stl";"-1.10195";"1.72013";"17.0388";"0.59564"
142;"mf_(2_5,200,90_0,24,12,4).stl";"-1.03693";"1.54729";"17.0087";"0.623924"
143;"mf_(2_5,200,90_0,24,12,6).stl";"-1.07335";"1.65484";"17.0231";"0.603704"
144;"mf_(2_5,200,90_0,24,12,8).stl";"-1.06225";"1.60448";"16.9927";"0.61596"
145;"mf_(4_0,200,112_5,12,0,4).stl";"-1";"1.64013";"17.0359";"0.591365"
146;"mf_(4_0,200,112_5,12,0,6).stl";"-0.994649";"1.65885";"17.0263";"0.581118"
147;"mf_(4_0,200,112_5,12,0,8).stl";"-1.02829";"1.6188";"17.0326";"0.615666"
148;"mf_(4_0,200,112_5,12,12,4).stl";"-0.966566";"1.62352";"17.0118";"0.576745"
152;"mf_(4_0,200,112_5,16,0,6).stl";"-1.06669";"1.64798";"17.0168";"0.602155"
153;"mf_(4_0,200,112_5,16,0,8).stl";"-1.09778";"1.72783";"17.0186";"0.589297"
154;"mf_(4_0,200,112_5,16,12,4).stl";"-1.01563";"1.63432";"17.0376";"0.577221"
155;"mf_(4_0,200,112_5,16,12,6).stl";"-1.05846";"1.68341";"17.0033";"0.582509"
156;"mf_(4_0,200,112_5,16,12,8).stl";"-1.0927";"1.71501";"17.0346";"0.591894"
157;"mf_(4_0,200,112_5,20,0,4).stl";"-1.08698";"1.6411";"17.038";"0.618031"
158;"mf_(4_0,200,112_5,20,0,6).stl";"-1.06124";"1.64435";"17.0228";"0.600499"
159;"mf_(4_0,200,112_5,20,0,8).stl";"-1.10344";"1.68979";"16.9965";"0.607141"
160;"mf_(4_0,200,112_5,20,12,4).stl";"-0.998167";"1.57878";"17.0309";"0.588514"
161;"mf_(4_0,200,112_5,20,12,6).stl";"-1.09256";"1.68725";"17.0267";"0.602609"
162;"mf_(4_0,200,112_5,20,12,8).stl";"-1.09207";"1.70962";"17.0141";"0.592923"
163;"mf_(4_0,200,112_5,24,0,4).stl";"-1.11605";"1.74309";"17.0281";"0.622598"
164;"mf_(4_0,200,112_5,24,0,6).stl";"-1.04719";"1.68515";"17.0314";"0.602884"
165;"mf_(4_0,200,112_5,24,0,8).stl";"-1.23472";"1.83563";"17.03";"0.630157"
166;"mf_(4_0,200,112_5,24,12,4).stl";"-1.00601";"1.63879";"17.0517";"0.59595"
167;"mf_(4_0,200,112_5,24,12,6).stl";"-1.01809";"1.59626";"17.0065";"0.616857"
168;"mf_(4_0,200,112_5,24,12,8).stl";"-1.08881";"1.73649";"17.0458";"0.609483"
169;"mf_(4_0,200,135_0,12,0,4).stl";"-1";"1.64013";"17.0359";"0.591365"
170;"mf_(4_0,200,135_0,12,0,6).stl";"-0.994649";"1.65885";"17.0263";"0.581118"
171;"mf_(4_0,200,135_0,12,0,8).stl";"-1.02829";"1.6188";"17.0326";"0.615666"
172;"mf_(4_0,200,135_0,12,12,4).stl";"-0.966566";"1.62352";"17.0118";"0.576745"
176;"mf_(4_0,200,135_0,16,0,6).stl";"-1.06669";"1.64798";"17.0168";"0.602155"
177;"mf_(4_0,200,135_0,16,0,8).stl";"-1.09778";"1.72783";"17.0186";"0.589297"
178;"mf_(4_0,200,135_0,16,12,4).stl";"-1.01563";"1.63432";"17.0376";"0.577221"
179;"mf_(4_0,200,135_0,16,12,6).stl";"-1.05846";"1.68341";"17.0033";"0.582509"
180;"mf_(4_0,200,135_0,16,12,8).stl";"-1.0927";"1.71501";"17.0346";"0.591894"
181;"mf_(4_0,200,135_0,20,0,4).stl";"-1.08698";"1.6411";"17.038";"0.618031"
182;"mf_(4_0,200,135_0,20,0,6).stl";"-1.06124";"1.64435";"17.0228";"0.600499"
183;"mf_(4_0,200,135_0,20,0,8).stl";"-1.10344";"1.68979";"16.9965";"0.607141"
184;"mf_(4_0,200,135_0,20,12,4).stl";"-0.998167";"1.57878";"17.0309";"0.588514"
185;"mf_(4_0,200,135_0,20,12,6).stl";"-1.09256";"1.68725";"17.0267";"0.602609"
186;"mf_(4_0,200,135_0,20,12,8).stl";"-1.09207";"1.70962";"17.0141";"0.592923"
187;"mf_(4_0,200,135_0,24,0,4).stl";"-1.11605";"1.74309";"17.0281";"0.622598"
188;"mf_(4_0,200,135_0,24,0,6).stl";"-1.04719";"1.68515";"17.0314";"0.602884"
189;"mf_(4_0,200,135_0,24,0,8).stl";"-1.23472";"1.83563";"17.03";"0.630157"
190;"mf_(4_0,200,135_0,24,12,4).stl";"-1.00601";"1.63879";"17.0517";"0.59595"
